,Customer Number,Campaign Period Sales,Historical Sales Volume,Number of Prior Year Transactions,Do Not Direct Mail Solicit,Do Not Email,Do Not Telemarket,Years of Membership,Repurchase Method_AUTO RENEW,Repurchase Method_NOTICE,Repurchase Method_PAYMENT PLAN,Last Transaction Channel_AUTO RENEW,Last Transaction Channel_BILLING,Last Transaction Channel_BRANCH (PHONE),Last Transaction Channel_BRANCH (POS),Last Transaction Channel_IT,Last Transaction Channel_MAIL,Last Transaction Channel_PHONE,Last Transaction Channel_UNKNOWN,Last Transaction Channel_WEB,Desk_Y,Executive Chair_Y,Standard Chair_Y,Monitor_Y,Printer_Y,Computer_Y,Insurance_Y,Toner_Y,Office Supplies_Y,Number of Employees_Large,Number of Employees_Medium,Number of Employees_Small,Number of Employees_UNKNOWN,LANG_English,LANG_Non-English,LANG_UNKNOWN
0,86734.0,238.70476190476194,146803.42857142858,15.0,0.0,0.0,0.0,52,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
1,97098.0,281.68,439984.16,22.0,0.0,0.0,0.0,39,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
2,100836.0,432.8571428571429,970465.7142857144,19.0,0.0,0.0,0.0,58,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
3,116390.0,0.0,230193.59999999998,17.0,0.0,0.0,0.0,37,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
4,127914.0,1370.1666666666667,27403.333333333336,21.0,0.0,0.0,0.0,33,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
5,148529.0,308.41904761904766,182584.07619047622,16.0,0.0,0.0,0.0,41,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0
6,163829.0,0.0,151252.5,6.0,0.0,0.0,0.0,34,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
7,164322.0,0.0,1377761.0000000002,21.0,0.0,0.0,0.0,35,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
8,166859.0,2241.5,609688.0,32.0,0.0,1.0,0.0,42,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
9,170336.0,223.44000000000003,277512.48000000004,18.0,0.0,0.0,0.0,38,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
10,182528.0,0.0,221457.14285714287,15.0,0.0,0.0,0.0,37,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
11,186013.0,124.75999999999999,199366.48,17.0,0.0,1.0,0.0,40,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
12,191440.0,0.0,332935.2693333333,22.0,0.0,0.0,0.0,33,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0
13,196723.0,0.0,184006.28571428574,15.0,0.0,1.0,0.0,33,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
14,204625.0,0.0,940139.1999999998,22.0,0.0,0.0,0.0,33,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0
15,212131.0,110.33333333333336,148950.00000000003,10.0,0.0,0.0,0.0,49,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
16,217573.0,0.0,255984.48000000004,23.0,0.0,0.0,0.0,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
17,234724.0,141.712,637704.0,30.0,0.0,1.0,0.0,45,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
18,240009.0,0.0,792136.7999999999,21.0,0.0,0.0,0.0,30,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
19,246714.0,507.3142857142857,192779.42857142858,19.0,0.0,0.0,0.0,47,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
20,251966.0,0.0,363121.00000000006,15.0,0.0,0.0,0.0,35,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
21,255302.0,0.0,501692.4,22.0,0.0,0.0,0.0,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
22,260882.0,0.0,117955.20000000003,18.0,0.0,0.0,0.0,40,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
23,268173.0,0.0,127709.86666666668,8.0,0.0,0.0,0.0,29,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
24,274058.0,0.0,452872.3466666666,11.0,0.0,0.0,0.0,31,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
25,275416.0,178.47619047619048,517224.0,21.0,0.0,0.0,0.0,49,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
26,284729.0,0.0,350056.00000000006,15.0,0.0,0.0,0.0,29,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
27,285962.0,0.0,29864.761904761905,4.0,0.0,0.0,0.0,36,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0
28,290624.0,0.0,390473.14285714284,15.0,0.0,0.0,0.0,31,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
29,292424.0,0.0,286829.3333333333,1.0,1.0,1.0,1.0,30,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
30,299477.0,304.08000000000004,485007.6000000001,11.0,1.0,1.0,1.0,48,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
31,301458.0,323.3706666666667,548113.28,15.0,0.0,0.0,0.0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0
32,315239.0,211.25866666666667,71827.94666666667,17.0,0.0,1.0,0.0,61,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
33,316370.0,0.0,112012.5,3.0,0.0,0.0,0.0,32,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
34,322630.0,0.0,178257.19999999998,10.0,0.0,0.0,0.0,28,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
35,323468.0,201.6952380952381,298508.95238095237,20.0,0.0,0.0,0.0,50,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
36,330469.0,0.0,948106.9714285715,22.0,0.0,0.0,0.0,28,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0
37,331032.0,0.0,953837.7333333336,14.0,0.0,1.0,0.0,30,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
38,332697.0,131.86666666666665,346545.5999999999,18.0,0.0,0.0,0.0,53,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
39,342310.0,0.0,105257.59999999999,16.0,0.0,0.0,0.0,30,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
40,355155.0,0.0,2958857.0,11.0,0.0,1.0,0.0,30,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
41,356828.0,0.0,71875.04761904762,4.0,0.0,0.0,0.0,29,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
42,357850.0,0.0,34663.571428571435,1.0,0.0,0.0,0.0,30,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
43,363119.0,0.0,312152.99047619046,19.0,0.0,0.0,0.0,34,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
44,363574.0,0.0,173610.80000000002,15.0,0.0,1.0,0.0,32,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
45,367083.0,0.0,334889.2,15.0,0.0,0.0,0.0,47,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
46,372749.0,3185.0,1608425.0,25.0,0.0,0.0,0.0,40,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
47,378020.0,0.0,25003.333333333332,1.0,1.0,1.0,1.0,33,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
48,378335.0,0.0,62758.666666666664,1.0,0.0,0.0,0.0,28,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
49,382582.0,89.68,30670.56,19.0,0.0,0.0,0.0,49,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
50,390302.0,1299.25,3383247.0,21.0,0.0,0.0,0.0,26,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0
51,398067.0,0.0,922924.7999999999,15.0,0.0,0.0,0.0,32,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0
52,399932.0,448.0533333333334,138448.48000000004,3.0,0.0,0.0,0.0,19,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
53,400461.0,283.1190476190476,143824.47619047618,4.0,0.0,0.0,0.0,27,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
54,402130.0,0.0,1779435.0,7.0,0.0,0.0,0.0,32,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
55,402456.0,0.0,1118455.0,15.0,0.0,0.0,0.0,37,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0
